,time,open,high,low,close,tick_volume,spread,real_volume
124,2021-06-10 02:00:00,1.21789,1.21946,1.21434,1.21761,42196,2,0
125,2021-06-11 02:00:00,1.21631,1.21929,1.20927,1.21062,36569,2,0
126,2021-06-14 02:00:00,1.21022,1.21303,1.20942,1.21185,31808,2,0
127,2021-06-15 02:00:00,1.21176,1.21472,1.21013,1.21262,32887,2,0
128,2021-06-16 02:00:00,1.21257,1.21347,1.19953,1.1997200000000001,46722,2,0
129,2021-06-17 02:00:00,1.19937,1.20063,1.1892,1.19066,59108,2,0
130,2021-06-18 02:00:00,1.19071,1.19249,1.18473,1.18596,59587,2,0
131,2021-06-21 02:00:00,1.1854,1.19211,1.1847699999999999,1.19183,54852,2,0
132,2021-06-22 02:00:00,1.1917,1.19525,1.18809,1.19409,46096,2,0
133,2021-06-23 02:00:00,1.19359,1.19699,1.19115,1.19276,43065,2,0
134,2021-06-24 02:00:00,1.19256,1.19562,1.19176,1.19312,38893,2,0
135,2021-06-25 02:00:00,1.19308,1.19752,1.19263,1.19372,38387,2,0
136,2021-06-28 02:00:00,1.19296,1.19444,1.19025,1.19229,38372,2,0
137,2021-06-29 02:00:00,1.192,1.19298,1.18777,1.1897,37336,2,0
138,2021-06-30 02:00:00,1.18965,1.19089,1.1844999999999999,1.1859899999999999,43672,2,0
139,2021-07-01 02:00:00,1.18552,1.18842,1.18374,1.18491,43031,2,0
140,2021-07-02 02:00:00,1.185,1.18741,1.18075,1.18645,43008,2,0
141,2021-07-05 02:00:00,1.1856200000000001,1.18805,1.18513,1.18618,30520,2,0
142,2021-07-06 02:00:00,1.18592,1.1895,1.18069,1.1822,50312,2,0
143,2021-07-07 02:00:00,1.1823,1.18361,1.17816,1.17913,47196,2,0
144,2021-07-08 02:00:00,1.17896,1.18678,1.17836,1.18452,57413,2,0
145,2021-07-09 02:00:00,1.18394,1.18811,1.1825,1.18773,44843,2,0
146,2021-07-12 02:00:00,1.1869399999999999,1.18801,1.18361,1.18606,35760,2,0
147,2021-07-13 02:00:00,1.18585,1.18751,1.17722,1.17767,43039,2,0
